Classement,Nom,Longitude,Latitude,Fréquentation
1,Cathédrale Notre-Dame de Paris,2.35,48.853,12000000
2,Basilique du Sacré-Cœur de Montmartre,2.3430153,48.8868058,10000000
3,Musée du Louvre,2.3380277,48.8611473,8022300
4,Tour Eiffel,2.2944991,48.8582602,6207303
5,Centre Pompidou,2.3524743,48.8605918,3337000
6,Musée d’Orsay,2.3265828,48.8599179,3177842
7,Cité des sciences et de l’industrie,2.3879761,48.8957518,2439072
8,Chapelle Notre-Dame de la Médaille miraculeuse,2.3229255,48.8508444,2000000
9,Grand site du Jardin des plantes,2.35275,48.84647,1763262
10,Arc de triomphe,2.2950372,48.8737791,1583260
11,Grand Palais,2.312223,48.8661613,1412060
